id,grid_id,score,data_source,latitude,longitude,lat_lon,address,created date,category,coundist,geometry,borocode,borough_df_benches_std_0,borough_df_benches_std_1,borocd,assemdist,stsendist,congdist,siteid,benchid,type,benchtype,geocodeadd,street,crossstree,borough_df_benches_std_2,borough_df_benches_std_3,comdist,busroute,bid
228669,1930,7.73,df_benches,40.7320249016,-73.8491200502,-3008.024196845994,64-51 108th Street,06/11/2013,Bench,29.0,POINT (-73.8491200502 40.7320249016),4.0,Queens,Queens,406.0,27.0,16.0,6.0,1387.0,523.0,General,backed,64-51 108th Street,108th Street,64th Road & 65th Avenue,Queens,Queens,406.0,Not Applicable,Not Applicable
228670,1012,5.04,df_benches,40.627509,-74.16732,-3013.2334608058804,2324 Forest Avenue,05/01/2013,Bench,49.0,POINT (-74.16732 40.627509),5.0,Staten Island,Staten Island,501.0,63.0,23.0,11.0,1901.0,538.0,General,backed,2324 Forest Avenue,Forest Avenue,South Avenue & Lilac Street,Staten Island,Staten Island,501.0,S40,Not Applicable
228671,2040,4.279999999999999,df_benches,40.744813,-73.924051,-3012.0216341974633,43-45 40th Street,07/25/2014,Bench,26.0,POINT (-73.924051 40.744813),4.0,Queens,Queens,402.0,37.0,12.0,14.0,2515.0,1191.0,BID,backed,43-45 40th Street,40th Street,Queens Boulevard & 43rd Avenue,Queens,Queens,402.0,Not Applicable,Sunnyside Shines
228672,2392,4.380000000000001,df_benches,40.787105,-73.945002,-3016.0025607992097,1952 2nd Avenue,07/05/2017,Bench,8.0,POINT (-73.945002 40.787105),1.0,Manhattan,Manhattan,111.0,68.0,29.0,13.0,3824.0,179.0,General,backed 2,1952 2nd Avenue,2nd Avenue,E 101st Street & E 100th Street,Manhattan,Manhattan,111.0,Not Applicable,Not Applicable
228673,2330,3.1500000000000004,df_benches,40.779265,-73.973743,-3016.5948688388953,170 Central Park West,12/15/2014,Bench,6.0,POINT (-73.973743 40.779265),1.0,Manhattan,Manhattan,107.0,67.0,29.0,10.0,3030.0,696.0,Municipal Facilities,backless,170 Central Park West,Central Park West,W. 77th Street & W. 76th Street,Manhattan,Manhattan,107.0,M10,Not Applicable
228674,2343,3.42,df_benches,40.778601,-73.843187,-3011.221859241387,125-10 23rd Avenue,11/24/2014,Bench,19.0,POINT (-73.843187 40.778601),4.0,Queens,Queens,407.0,27.0,11.0,14.0,2839.0,1704.0,Municipal Facilities,backed,125-10 23rd Avenue,23rd Avenue,125th Street and 126th Street,Queens,Queens,407.0,Not Applicable,Not Applicable
228675,2105,5.900000000000001,df_benches,40.7495340664,-73.8625749635,-3009.8655147071668,103-12 Roosevelt Avenue,06/01/2018,Bench,21.0,POINT (-73.8625749635 40.7495340664),4.0,Queens,Queens,404.0,39.0,13.0,14.0,1342.0,389.0,Plaza,backed 2,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,Queens,404.0,Q20A,Not Applicable
228676,1452,4.779999999999999,df_benches,40.670168,-73.907561,-3005.832922340248,1777 Pitkin Avenue,02/21/2013,Bench,37.0,POINT (-73.907561 40.670168),3.0,Brooklyn,Brooklyn,316.0,55.0,19.0,8.0,1720.0,468.0,BID,backed,1777 Pitkin Avenue,Pitkin Avenue,Watkin Street & Mother Gaston Blvd,Brooklyn,Brooklyn,316.0,Not Applicable,Pitkin Avenue
228677,2627,3.46,df_benches,40.821836,-73.950107,-3018.779140136452,1616 Amsterdam Avenue,07/19/2013,Bench,7.0,POINT (-73.950107 40.821836),1.0,Manhattan,Manhattan,109.0,70.0,31.0,13.0,1983.0,748.0,General,backed,1616 Amsterdam Avenue,Amsterdam Avenue,West 139th & 140th Street,Manhattan,Manhattan,109.0,Not Applicable,Not Applicable
228678,1628,6.710000000000001,df_benches,40.694817,-73.919402,-3008.136537139434,331 Central Avenue,05/05/2016,Bench,37.0,POINT (-73.919402 40.694817),3.0,Brooklyn,Brooklyn,304.0,53.0,18.0,7.0,3213.0,2077.0,Municipal Facilities,backed,331 Central Avenue,Central Avenue,Menahan Street & Grove Street,Brooklyn,Brooklyn,304.0,Not Applicable,Not Applicable
228679,1445,16.92,df_benches,40.676967,-73.969125,-3008.839656643875,646A Vanderbilt Avenue,07/26/2012,Bench,35.0,POINT (-73.969125 40.676967),3.0,Brooklyn,Brooklyn,308.0,52.0,20.0,9.0,874.0,173.0,General,backed,646 Vanderbuilt Avenue,Vanderbilt Avenue,Prospect and Park Places,Brooklyn,Brooklyn,308.0,Not Applicable,Not Applicable
228680,1561,8.05,df_benches,40.69056,-73.991962,-3010.77436927872,106 Court Street,06/19/2012,Bench,33.0,POINT (-73.991962 40.69056),3.0,Brooklyn,Brooklyn,302.0,52.0,26.0,7.0,987.0,542.0,BID,backed 2,106 Court Street,Court Street,Livingston and Schermerhorn Streets,Brooklyn,Brooklyn,302.0,Not Applicable,Court-Livingston-Schermerhorn
228681,2035,3.5599999999999996,df_benches,40.743704,-73.973291,-3013.945872409864,403 East 34th Street,04/26/2018,Bench,4.0,POINT (-73.973291 40.743704),1.0,Manhattan,Manhattan,106.0,74.0,27.0,12.0,3994.0,523.0,Municipal Facilities,backed 2,403 East 34th Street,East 34th Street,1st Avenue & FDR Drive,Manhattan,Manhattan,106.0,Not Applicable,Not Applicable
228682,2154,10.41,df_benches,40.760933,-73.957748,-3014.586811058884,500 E 63rd Street,02/02/2018,Bench,5.0,POINT (-73.957748 40.760933),1.0,Manhattan,Manhattan,108.0,76.0,28.0,12.0,3961.0,0.0,Senior Safety,backed 2,1157 York Avenue,York Avenue,E 62ndStreet & E 63rd Street,Manhattan,Manhattan,108.0,Not Applicable,Not Applicable
228683,2569,14.32,df_benches,40.814997,-73.940918,-3017.898346347246,104 West 136th Street,06/26/2014,Bench,9.0,POINT (-73.940918 40.814997),1.0,Manhattan,Manhattan,110.0,70.0,30.0,13.0,2558.0,1396.0,Municipal Facilities,backed,104 West 136th Street,West 136th Street,Malcolm X Boulevard and Adam Clayton Powell Boulevard,Manhattan,Manhattan,110.0,Not Applicable,Not Applicable
