id,grid_id,score,data_source,borough,zip,latitude,longitude,lat_lon,address,status,cb_num,cncldist,category,assemblydist,coundist,gardenname,juris,geometry,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,statesenatedist,censustract,crossstreets
230833,2452,7.720000000000001,df_gardens,Manhattan,10035.0,40.796076,-73.93205,-3016.1375306358,326 Pleasant Avenue,Active,111.0,13.0,Garden,68.0,8.0,Los Amigos Garden NYRP,NYRP,POINT (-73.93205 40.796076),,,,,,,,29.0,178.0,
230834,2452,7.720000000000001,df_gardens,Manhattan,10035.0,40.79637,-73.933589,-3016.2220522719304,429-433 East 117th Street,Active,111.0,13.0,Garden,68.0,8.0,East Harlem Community Garden,MLT,POINT (-73.933589 40.79637),,,,,,,,29.0,178.0,1st & Pleasant Avenues
230835,1857,19.11,df_gardens,Manhattan,10009.0,40.721486,-73.979595,-3012.55904207817,293-295 East 3rd Street,Active,103.0,10.0,Garden,65.0,2.0,"All People's Garden, Inc.",MLT,POINT (-73.979595 40.721486),,,,,,,,27.0,26.01,Avenues C & D
230836,2686,7.99,df_gardens,Manhattan,10031.0,40.823554,-73.949275,-3018.87222122335,1656 Amsterdam Avenue,Active,109.0,13.0,Garden,71.0,7.0,Hope Steven Garden,MLT,POINT (-73.949275 40.823554),,,,,,,,30.0,229.0,142nd St & Hamilton Pl & Amsterdam Avenue
230837,2511,6.13,df_gardens,Manhattan,10035.0,40.802215,-73.934981,-3016.7109907829145,236-242 East 124th Street,Active,111.0,13.0,Garden,68.0,8.0,Carver Community Garden,MLT,POINT (-73.934981 40.802215),,,,,,,,30.0,194.0,2nd & 3rd Avenues
230838,1856,8.32,df_gardens,Manhattan,10003.0,40.725429,-73.991067,-3013.3179457427427,16-18 East 2nd Street,Active,103.0,10.0,Garden,66.0,2.0,Albert's Garden,MLT,POINT (-73.991067 40.725429),4:00p - 7:00p,,10:00a - 1:00p & 4:00p - 7:00p,10:00a - 4:00p,,10:00a - 5:00p,10:00a - 1:00p,27.0,36.02,Bowery & 2nd Avenue
230839,2392,4.380000000000001,df_gardens,Manhattan,10029.0,40.790151,-73.944761,-3016.217966848911,203 East 104th Street,Not GreenThumb,111.0,13.0,Garden,68.0,8.0,El Sitio Feliz (The Happy Place),ACS/PRI,POINT (-73.944761 40.790151),,,,,,,,29.0,170.0,2nd & 3rd Avenues
230840,2687,10.54,df_gardens,Manhattan,10031.0,40.828797,-73.945654,-3019.1120961982383,499 West 150th Street,Active,109.0,13.0,Garden,71.0,7.0,Lucille McClarey Wicked Friendship Garden,NYRP,POINT (-73.945654 40.828797),,,,,,,,30.0,237.0,
230841,2509,17.18,df_gardens,Manhattan,10027.0,40.806988,-73.952159,-3017.7648648870913,252 West 121st Street,Active,110.0,13.0,Garden,70.0,9.0,Five Star Gardens,MLT,POINT (-73.952159 40.806988),,,,,,,,30.0,220.0,Adam Clayton Powell & Fredrick Douglas Blvds
230842,2686,7.99,df_gardens,Manhattan,10031.0,40.826155,-73.948297,-3019.0246353080347,522 West 146th Street,Active,109.0,13.0,Garden,71.0,7.0,Serenity Gardens,MLT,POINT (-73.948297 40.826155),,,,,,,,30.0,229.0,Amsterdam Ave. and Broadway
230843,2451,9.85,df_gardens,Manhattan,10029.0,40.796772,-73.946059,-3016.760509321548,1673 Madison Avenue,Active,111.0,13.0,Garden,68.0,8.0,Diversity Edible Farm Garden,DPR,POINT (-73.946059 40.796772),,,,,,,,29.0,174.02,E. 111th & E. 112th Streets.
230844,2569,14.32,df_gardens,Manhattan,10027.0,40.809794,-73.942975,-3017.59757749715,54 W 129th Street,Active,110.0,13.0,Garden,70.0,9.0,Harlem Village Green,PRI,POINT (-73.942975 40.809794),,,,,,,,30.0,208.0,
230845,2452,7.720000000000001,df_gardens,Manhattan,10035.0,40.796483,-73.933859,-3016.241421817897,421 East 117th Street,Active,111.0,13.0,Garden,68.0,8.0,Home Depot Children's Garden,NYRP,POINT (-73.933859 40.796483),,,,,,,,29.0,178.0,btw 1st Ave and Pleasant
230846,1855,7.349999999999999,df_gardens,Manhattan,10012.0,40.727582,-73.998737,-3013.789629063934,511 LaGuardia Place,Active,102.0,10.0,Garden,66.0,2.0,LaGuardia Corner Community Garden,DOT,POINT (-73.998737 40.727582),6:00 p.m. to 8:00 p.m.,6:00 p.m. to 8:00 p.m.,2:00 p.m. to 6:00 p.m.,2:00 p.m. to 6:00 p.m.,6:00 p.m. to 8:00 p.m.,6:00 p.m. to 8:00 p.m.,6:00 p.m. to 8:00 p.m.,27.0,55.01,Bleecker & Houston Streets.
230847,2391,5.74,df_gardens,Manhattan,10029.0,40.790927,-73.948556,-3016.430149551412,105 East 103rd Street,Active,111.0,13.0,Garden,68.0,8.0,103rd Street Community Garden,NYRP,POINT (-73.948556 40.790927),,,,,,,,29.0,166.0,Lexington & Park Avenues
230848,2451,9.85,df_gardens,Manhattan,10029.0,40.794874,-73.943208,-3016.503853515792,176 E 111th Street,Active,111.0,13.0,Garden,68.0,8.0,Herb Garden (formerly 111th St. Betterment Assoc.),NYRP,POINT (-73.943208 40.794874),,,,,,,,29.0,172.0,3rd Ave. & Lexington Ave.
230849,1857,19.11,df_gardens,Manhattan,10009.0,40.722823,-73.980872,-3012.709955841656,281 East 4th Street,Active,103.0,10.0,Garden,74.0,2.0,Sage's Garden,DPR,POINT (-73.980872 40.722823),,,10:00 a.m. - 4:00 p.m.,1:00 p.m. - 5:00 p.m.,,,,27.0,26.01,Ave B & Ave. C
